stop_code,stop_name,stop_lat,stop_lon
36073,שדרות יעקב/הורד,31.959666,34.823703
36083,צומת חב''ד,31.979243,34.837288
36086,זלמן שזר/חיל הים,31.99673,34.73928
36090,כורש/רחבעם זאבי,31.994732,34.742436
36091,כורש/זלמן שז''ר,31.996079,34.743003
36093,חיל התותחנים/אח''י חץ,31.998255,34.738173
36312,יוסף לישנסקי/דוד סחרוב,31.99324,34.767438
36315,יוסף לישנסקי/שייקה דן,31.994753,34.767269
36592,יעקוב פריימן/מנחם כהן,31.974883,34.814324
36646,מנחם כהן/הצופים,31.97462,34.813286
36731,קניון אם מושבות/ראשון לציון,32.100547,34.876439
36813,יגאל אלון/שדרות נים,31.948507,34.810421
37315,מחלף עין הקורא,31.956457,34.783763
37316,המכללה למנהל/אלי ויזל,31.96911,34.770469
37326,חיים בר לב/החלוצים,31.981841,34.766974
37327,שדרות יעקב/מורדי הגיטאות,31.955213,34.821998
37328,הרצל/אסא,31.962979,34.802919
37329,משה שרת/קנר,31.993117,34.755451
37334,הרב יוסף עזרן/שנהב,31.980348,34.785254
37335,מבצע משה/הנחשול,31.982015,34.782233
37336,הנחשול/ה' באייר,31.98122,34.780321
37504,שדרות היובל/פינסקר,31.981819,34.799524
37506,הרצל/בן זאב,31.969914,34.805183
37509,צבי פרנק/הרב צדוק,31.97199,34.808593
37597,מרכז כרמים/הסוכה,31.975462,34.779643
37602,ירושלים/האחד עשר,31.962267,34.819914
37605,גבעתי/קרייתי,31.963382,34.817396
37606,חנה ומיכאל לוין/חיים שרף,31.964906,34.823585
37607,גבעתי/רש''י,31.967412,34.816731
37622,צבי פרנק/ברנדייס,31.972102,34.807643
37623,רוטשילד/זבוטינסקי,31.963819,34.800335
37624,הרצל/תרמ''ב,31.966379,34.802881
37625,הרצל/ינובסקי,31.958395,34.801979
37626,הרצל/עין הקורא,31.966292,34.80265
37628,יוסף ספיר/השר חיים שפירא,31.992621,34.750967
37634,הרצל/שדרות תש''ח,31.955339,34.802324
37639,הרצל/אבי האסירים,31.954778,34.802695
37644,הרצל/הכרמל,31.962545,34.803188
37650,צבי פרנק/יוחנן הסנדלר,31.970067,34.812814
37651,צבי פרנק/יעקובזון,31.970223,34.812877
37658,סגל/פיקא,31.972454,34.81445
37663,צומת צריפין לצפון,31.969932,34.843347
37664,מחנה צריפין,31.962907,34.836459
37792,ת. רכבת ראשונים,31.949222,34.801928
37928,בי''ס לכבאות/רחבעם זאבי,31.99291,34.74513
37939,כתריאל רפפורט/חיים הרצוג,31.966961,34.82445
38016,אברהם בומה שביט/התגלית,31.950223,34.762385
38019,אברהם בומה שביט/מרק מושביץ,31.950967,34.76905
38021,התזמורת/הקלרנית,31.963831,34.773968
38022,המכללה למינהל/מוטה גור,31.969801,34.773176
38047,סופרלנד/שדרות מינסטר,31.979084,34.74321
38048,סופרלנד/שדרות מינסטר,31.979174,34.742528
38049,איקאה/היוזמה,31.951151,34.770731
38144,דרך המכבים/אלי כהן,31.984633,34.81074
38150,ז'בוטינסקי/רוטשילד,31.964472,34.799939
38157,לוי אשכול/חסידי אומות העולם,31.977439,34.777987
38169,שדרות משה דיין/אבני החושן,31.981051,34.774529
38170,סינמה סיטי/משה דיין,31.982591,34.77123
38171,שדרות משה דיין/בסקינד,31.984956,34.766404
38172,שדרות משה דיין/הנחשול,31.979905,34.7787
38173,לוי אשכול/היין,31.972967,34.775657
38428,ת. רכבת ראשונים,31.950976,34.801211
38432,נסיה/התעשיין,31.98561,34.815841
38433,בנימין שמוטקין/טוליפמן,31.982442,34.814295
38435,שמוטקין/פנחס בן דוד,31.979307,34.81265
38436,שמוטקין/פריימן,31.977057,34.811926
38437,שמוטקין/טוליפמן,31.98053,34.81354
38460,שדרות הציונות/אלימלך צמיר,31.981735,34.806363
38472,נחמיה/דבורה הנביאה,31.949635,34.817988
38495,חנה ומיכאל לוין/ירושלים,31.962976,34.822068
38507,סינמה סיטי/משה דיין,31.981765,34.772339
